l        A[l]            B[l]            C[l]            D[l]            E[l]            K[l]      
4        -0.0223675      0.000173078     -1.1415e-11     1.44721e-13     8.66518e-15     141.401   
5        -0.0250899      0.000173526     -1.43117e-11    2.16084e-13     1.14932e-14     153.731   
6        -0.028773       0.00021033      -1.82581e-11    1.66581e-13     1.28257e-14     124.518   
7        -0.0251926      0.000181426     -1.10172e-11    1.3436e-13      8.57604e-15     141.667   
8        -0.0280163      0.000196379     -7.91655e-12    1.17868e-13     7.09043e-15     132.637   
9        -0.0293901      0.000204501     -1.2099e-11     2.0031e-13      1.15012e-14     131.17    
10       -0.0277585      0.000193082     -1.29662e-11    1.99269e-13     1.15924e-14     132.43    
11       -0.0253104      0.000189525     -9.13956e-12    1.28956e-13     7.81585e-15     140.036   
12       -0.0283462      0.000190253     -1.6011e-11     2.27021e-13     1.36658e-14     137.124   
13       -0.0232639      0.000180714     6.37639e-13     3.46451e-13     1.17147e-14     135.114   
15       -0.0269288      0.000188938     -2.03891e-11    2.78823e-13     1.66335e-14     136.466   
